                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                0.99565,                0.45212,                 1.2707,                0.98712,                0.97563,                0.99339,                0.75689,                 0.8665,                0.36329,                 1.3405,              0.0015545,              0.0015545,              0.0015545
                     48,                0.96392,                0.42901,                 1.2657,                0.98508,                0.98495,                0.99415,                 0.7545,                0.90295,                0.34363,                 1.3748,              0.0015446,              0.0015446,              0.0015446
                     49,                0.95385,                0.43271,                 1.2636,                0.97982,                0.97685,                0.99369,                0.74014,                0.89191,                0.34054,                 1.3745,              0.0015347,              0.0015347,              0.0015347
                     50,                0.94565,                0.42822,                 1.2521,                0.98034,                0.98134,                0.99359,                0.76468,                 0.8722,                0.34488,                 1.3559,              0.0015248,              0.0015248,              0.0015248
                     51,                0.95645,                0.43235,                 1.2632,                 0.9836,                0.97187,                0.99288,                0.74675,                0.87887,                 0.3559,                 1.3594,              0.0015149,              0.0015149,              0.0015149
                     52,                0.95691,                0.43491,                 1.2648,                0.96779,                0.97383,                0.99174,                0.75698,                0.86566,                0.35057,                 1.3471,               0.001505,               0.001505,               0.001505
                     53,                0.94915,                0.42222,                 1.2575,                0.98103,                0.96412,                0.98787,                0.73314,                0.87586,                0.38867,                 1.3591,              0.0014951,              0.0014951,              0.0014951
                     54,                0.95244,                 0.4251,                 1.2549,                0.97923,                0.98232,                0.99303,                0.73724,                0.89243,                0.35312,                  1.381,              0.0014852,              0.0014852,              0.0014852
                     55,                0.94715,                 0.4144,                 1.2562,                0.96572,                0.97814,                0.99191,                0.75659,                 0.8877,                0.35247,                 1.3658,              0.0014753,              0.0014753,              0.0014753
                     56,                0.96182,                0.43616,                 1.2716,                0.97803,                0.97911,                0.99341,                0.74733,                0.87263,                0.33397,                 1.3699,              0.0014654,              0.0014654,              0.0014654
                     57,                0.94923,                 0.4225,                 1.2695,                0.98491,                0.98185,                0.99406,                 0.7506,                0.89018,                0.34006,                  1.368,              0.0014555,              0.0014555,              0.0014555
                     58,                0.94947,                0.42323,                 1.2706,                0.97661,                0.97801,                0.99017,                0.72627,                0.94587,                 0.3585,                 1.4402,              0.0014456,              0.0014456,              0.0014456
                     59,                0.93578,                0.41714,                 1.2463,                0.98495,                0.98439,                0.99292,                0.75968,                0.88524,                0.33624,                 1.3602,              0.0014357,              0.0014357,              0.0014357
                     60,                0.94514,                0.41802,                 1.2623,                 0.9756,                0.98264,                0.99334,                0.76728,                0.86624,                0.34302,                 1.3664,              0.0014258,              0.0014258,              0.0014258
                     61,                0.95331,                0.42582,                 1.2545,                0.97494,                0.98495,                0.99362,                0.71804,                 0.9603,                0.34925,                 1.4745,              0.0014159,              0.0014159,              0.0014159
                     62,                 0.9324,                0.41027,                 1.2642,                0.98044,                0.98032,                0.99398,                0.76573,                0.86966,                0.34147,                 1.3527,               0.001406,               0.001406,               0.001406
                     63,                 0.9362,                0.41689,                 1.2631,                0.97465,                0.96759,                0.99126,                0.77057,                0.85339,                0.33873,                 1.3447,              0.0013961,              0.0013961,              0.0013961
                     64,                0.91834,                0.41034,                 1.2366,                0.97421,                0.97338,                0.99192,                0.76677,                  0.855,                0.33347,                 1.3316,              0.0013862,              0.0013862,              0.0013862
